nbp	enrichment	sample
10	-0.7297590207828639	fly
20	-0.5932678821879389	fly
40	-0.37938288920056107	fly
60	-0.21688129542266993	fly
80	-0.09951549152110117	fly
100	0.0	fly
120	0.09470228228994042	fly
140	0.18146755068213685	fly
160	0.2597539206936125	fly
180	0.34180160652811514	fly
200	0.42011985209741165	fly
10	-0.646042636608674	worm
20	-0.4772114677775053	worm
40	-0.2827738299436414	worm
60	-0.14800294045577064	worm
80	-0.06628277382994331	worm
100	0.0	worm
120	0.056971330556236155	worm
140	0.11578044596912566	worm
160	0.16331781426121086	worm
180	0.2123254104386184	worm
200	0.2550845381034067	worm
10	-0.4546298752984881	humanGM12878
20	-0.2772618731759088	humanGM12878
40	-0.12868134783762278	humanGM12878
60	-0.06633059166887774	humanGM12878
80	-0.029450782700981913	humanGM12878
100	0.0	humanGM12878
120	0.024542318917484564	humanGM12878
140	0.0456354470681878	humanGM12878
160	0.062483417352082654	humanGM12878
180	0.07800477580260025	humanGM12878
200	0.09299548951976672	humanGM12878
10	-0.419666440268659	humanK562
20	-0.251150856539129	humanK562
40	-0.109953965738435	humanK562
60	-0.053128065806354326	humanK562
80	-0.021583276733831796	humanK562
100	0.0	humanK562
120	0.017885442608104624	humanK562
140	0.03335597313410255	humanK562
160	0.04867557165496954	humanK562
180	0.06075013206550467	humanK562
200	0.07267376047090761	humanK562
