rank	enrichment	p	sample
RankSPP	0.0		fly
RankLinear_0.1	0.0863190105826847	*	fly
RankLinear_0.2	0.1522376641591229	*	fly
RankLinear_0.3	0.20183603213056314	*	fly
RankLinear_0.4	0.2404692082111442	*	fly
RankLinear_0.5	0.26596965446895315	*	fly
RankLinear_0.6	0.2856049980874663	*	fly
RankLinear_0.7	0.3026902970801992	*	fly
RankLinear_0.8	0.3206681116919543	*	fly
RankLinear_0.9	0.32882825449445374	*	fly
RankLinear_1.0	0.3395384419227338	*	fly
RankLinear_2.0	0.37090399081983844	*+	fly
RankLinear_3.0	0.3811041693229639	*+	fly
RankLinear_4.0	0.37676909345913684	*+	fly
RankLinear_5.0	0.37166900420757487	*+	fly
RankLinear_6.0	0.36465638148667595	*+	fly
RankLinear_7.0	0.3601938033915594	*+	fly
RankLinear_8.0	0.35228866505163836	*+	fly
RankLinear_9.0	0.3492286115007013	*+	fly
RankLinear_10.0	0.34412852224914015	*+	fly
RankCrowdness	0.2923626163457863	*	fly
RankSPP	0.0		worm
RankLinear_0.1	0.08968390100465612	*	worm
RankLinear_0.2	0.14849301641754503	*	worm
RankLinear_0.3	0.19407008086253427	*	worm
RankLinear_0.4	0.24062729723107149	*	worm
RankLinear_0.5	0.26219063954913036	*	worm
RankLinear_0.6	0.2685616270521936	*	worm
RankLinear_0.7	0.2754226905170302	*	worm
RankLinear_0.8	0.2788532222494487	*	worm
RankLinear_0.9	0.29110512129380123	*	worm
RankLinear_1.0	0.28081352609654486	*	worm
RankLinear_2.0	0.30139671649105654	*+	worm
RankLinear_3.0	0.3077677039941198	*+	worm
RankLinear_4.0	0.30482724822347523	*+	worm
RankLinear_5.0	0.30482724822347523	*+	worm
RankLinear_6.0	0.2964959568733155	*+	worm
RankLinear_7.0	0.291595197255575	*+	worm
RankLinear_8.0	0.2906150453320268	*+	worm
RankLinear_9.0	0.2852242097525118	*+	worm
RankLinear_10.0	0.2847341337907376	*+	worm
RankCrowdness	0.24307767703994143	*	worm
RankSPP	0.0		humanGM12878
RankLinear_0.1	0.021225789334040616	*	humanGM12878
RankLinear_0.2	0.04006367736800193	*	humanGM12878
RankLinear_0.3	0.05585035818519476	*+	humanGM12878
RankLinear_0.4	0.06394269036879786	*+	humanGM12878
RankLinear_0.5	0.06619793048553967	*+	humanGM12878
RankLinear_0.6	0.06274873971875856	*+	humanGM12878
RankLinear_0.7	0.06553462456885127	*+	humanGM12878
RankLinear_0.8	0.06633059166887739	*+	humanGM12878
RankLinear_0.9	0.06553462456885104	*+	humanGM12878
RankLinear_1.0	0.06367736800212241	*+	humanGM12878
RankLinear_2.0	0.04908463783496959	+	humanGM12878
RankLinear_3.0	0.0395330326346508	+	humanGM12878
RankLinear_4.0	0.03542053595118061	+	humanGM12878
RankLinear_5.0	0.0322366675510745	+	humanGM12878
RankLinear_6.0	0.028124170867603854	+	humanGM12878
RankLinear_7.0	0.024276996550809112	+	humanGM12878
RankLinear_8.0	0.021225789334040616	+	humanGM12878
RankLinear_9.0	0.020031838684000967		humanGM12878
RankLinear_10.0	0.020562483417352215	+	humanGM12878
RankCrowdness	0.012470151233748871		humanGM12878
RankSPP	0.0		humanK562
RankLinear_0.1	0.018715568636328957	*+	humanK562
RankLinear_0.2	0.033054109123840256	*+	humanK562
RankLinear_0.3	0.04286468945739922	*+	humanK562
RankLinear_0.4	0.04558146554976987	*+	humanK562
RankLinear_0.5	0.04701531959852109	*+	humanK562
RankLinear_0.6	0.04558146554976987	*+	humanK562
RankLinear_0.7	0.04475133952154554	*+	humanK562
RankLinear_0.8	0.04037431137272622	*+	humanK562
RankLinear_0.9	0.03969511734963408	*+	humanK562
RankLinear_1.0	0.036676477247000086	*+	humanK562
RankLinear_2.0	0.023394460795411402	+	humanK562
RankLinear_3.0	0.014942268508037142	+	humanK562
RankLinear_4.0	0.009659648328428022	+	humanK562
RankLinear_5.0	0.0018111840615800208	+	humanK562
RankLinear_6.0	-0.002565844087238674	+	humanK562
RankLinear_7.0	-0.005810882197570529	+	humanK562
RankLinear_8.0	-0.008150328277111546	+	humanK562
RankLinear_9.0	-0.009961512338691567	+	humanK562
RankLinear_10.0	-0.011848162402837266	+	humanK562
RankCrowdness	-0.02694136291600618		humanK562
