top	enrichment	err	sample	rank
60.0	0.2526887755102041	0.018180118075289083	fly	C-score
260.0	0.20685714285714277	0.015136692711686977	fly	C-score
510.0	0.1836326530612244	0.01318281228708246	fly	C-score
760.0	0.1688826530612245	0.012070693023324234	fly	C-score
1010.0	0.15819897959183676	0.011324051867644225	fly	C-score
1260.0	0.15059693877551028	0.010667054821271036	fly	C-score
1510.0	0.14416836734693883	0.010067869430450072	fly	C-score
1760.0	0.1391224489795919	0.009625650176446376	fly	C-score
2010.0	0.13529591836734692	0.009272936879200583	fly	C-score
2260.0	0.13221428571428565	0.009032062488688914	fly	C-score
2510.0	0.12945408163265298	0.008810723490338335	fly	C-score
2760.0	0.12680612244897965	0.00857565316015719	fly	C-score
3010.0	0.12462244897959183	0.008364795752795683	fly	C-score
50.0	0.18483163265306096	0.01594122630389988	fly	SPP
250.0	0.16006122448979582	0.012918617042168698	fly	SPP
500.0	0.14975510204081627	0.011695187063152241	fly	SPP
750.0	0.14330102040816325	0.010789486083085645	fly	SPP
1000.0	0.13866836734693877	0.010202329696544051	fly	SPP
1250.0	0.13499489795918365	0.009693590586239743	fly	SPP
1500.0	0.1322704081632653	0.009322309781606834	fly	SPP
1750.0	0.13060204081632643	0.009104465180130751	fly	SPP
2000.0	0.12873979591836734	0.008886557162937032	fly	SPP
2250.0	0.12757142857142847	0.00872869462692503	fly	SPP
2500.0	0.1264489795918367	0.008589414112335903	fly	SPP
2750.0	0.12544387755102038	0.00846418313820639	fly	SPP
3000.0	0.12462244897959183	0.008364795752795683	fly	SPP
60.0	0.09617857142857127	0.00846395186433001	fly	C-score Shuffled
260.0	0.09137755102040802	0.0073159218301323626	fly	C-score Shuffled
510.0	0.08977040816326524	0.0069115528087648325	fly	C-score Shuffled
760.0	0.08959693877551023	0.006638594398495503	fly	C-score Shuffled
1010.0	0.08829591836734696	0.006470055075712238	fly	C-score Shuffled
1260.0	0.0877397959183673	0.006383656135925832	fly	C-score Shuffled
1510.0	0.08743367346938774	0.0062903415738350885	fly	C-score Shuffled
1760.0	0.08734183673469385	0.006266203687942592	fly	C-score Shuffled
2010.0	0.08720918367346943	0.006260280761575027	fly	C-score Shuffled
2260.0	0.08714795918367346	0.0062435999867838975	fly	C-score Shuffled
2510.0	0.08700510204081631	0.0062300041092192325	fly	C-score Shuffled
2760.0	0.08692346938775508	0.006167222849685022	fly	C-score Shuffled
3010.0	0.08683673469387755	0.006118870400172133	fly	C-score Shuffled
50.0	0.08628061224489786	0.007417421835494854	fly	SPP Shuffled
250.0	0.08749999999999988	0.006696815007164853	fly	SPP Shuffled
500.0	0.0877908163265306	0.006580958258724284	fly	SPP Shuffled
750.0	0.0873418367346939	0.006486672923252679	fly	SPP Shuffled
1000.0	0.0873163265306122	0.006430985276882411	fly	SPP Shuffled
1250.0	0.08780102040816325	0.006413517660837081	fly	SPP Shuffled
1500.0	0.08768877551020406	0.006350721157305464	fly	SPP Shuffled
1750.0	0.08767346938775511	0.006322741222627272	fly	SPP Shuffled
2000.0	0.0873571428571428	0.006261105256833919	fly	SPP Shuffled
2250.0	0.08722448979591832	0.00623980093515285	fly	SPP Shuffled
2500.0	0.08702040816326524	0.006186584966866554	fly	SPP Shuffled
2750.0	0.08685714285714284	0.006137377230332129	fly	SPP Shuffled
3000.0	0.08683673469387755	0.006118870400172133	fly	SPP Shuffled
60.0	0.20476271186440662	0.034199976920768434	worm	C-score
260.0	0.1719661016949152	0.030748455945246597	worm	C-score
510.0	0.15733898305084748	0.02920622987201417	worm	C-score
760.0	0.14620338983050846	0.02709643340891818	worm	C-score
1010.0	0.13705084745762713	0.024766713107683018	worm	C-score
1260.0	0.12877966101694913	0.022782739626650242	worm	C-score
