	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	0.5106382978723406	0.5957446808510639	0.6702127659574468	0.6914893617021276	0.648936170212766	0.648936170212766	0.6595744680851063	0.6914893617021276	0.7127659574468085	0.7553191489361701	0.7340425531914893	0.5425531914893618	0.6702127659574468	0.6702127659574468	0.6595744680851063	0.574468085106383	0.6170212765957447	0.6063829787234043	0.6702127659574468	0.6702127659574468	0.6063829787234043
20	0.6170212765957447	0.4893617021276597	0.5000000000000001	0.521276595744681	0.5319148936170214	0.5000000000000001	0.478723404255319	0.5319148936170214	0.5425531914893618	0.5638297872340426	0.5957446808510639	0.6170212765957447	0.5638297872340426	0.6170212765957447	0.5957446808510639	0.574468085106383	0.6063829787234043	0.6170212765957447	0.6170212765957447	0.5957446808510639	0.6170212765957447
40	0.27659574468085113	0.4255319148936169	0.3723404255319149	0.3723404255319149	0.4574468085106382	0.4042553191489361	0.5000000000000001	0.38297872340425526	0.4680851063829786	0.4574468085106382	0.5319148936170214	0.4468085106382978	0.3404255319148936	0.4255319148936169	0.35106382978723405	0.478723404255319	0.4574468085106382	0.5425531914893618	0.4893617021276597	0.4468085106382978	0.4574468085106382
60	0.27659574468085113	0.2234042553191489	0.21276595744680846	0.20212765957446804	0.3723404255319149	0.3191489361702128	0.29787234042553196	0.3404255319148936	0.3404255319148936	0.30851063829787234	0.3723404255319149	0.4042553191489361	0.3723404255319149	0.32978723404255317	0.30851063829787234	0.2659574468085107	0.35106382978723405	0.2872340425531915	0.30851063829787234	0.27659574468085113	0.2872340425531915
80	0.13829787234042556	0.21276595744680846	0.08510638297872347	0.2340425531914893	0.21276595744680846	0.2872340425531915	0.18085106382978722	0.19148936170212763	0.1595744680851064	0.2340425531914893	0.2659574468085107	0.18085106382978722	0.24468085106382986	0.2340425531914893	0.2234042553191489	0.3404255319148936	0.20212765957446804	0.27659574468085113	0.2234042553191489	0.3191489361702128	0.27659574468085113
100	0.0	0.20212765957446804	0.12765957446808515	0.13829787234042556	0.11702127659574472	0.12765957446808515	0.21276595744680846	0.10638297872340431	0.24468085106382986	0.11702127659574472	0.24468085106382986	0.2234042553191489	0.27659574468085113	0.2553191489361703	0.3404255319148936	0.2872340425531915	0.30851063829787234	0.2659574468085107	0.32978723404255317	0.24468085106382986	0.29787234042553196
120	-0.010638297872340417	0.14893617021276598	0.042553191489361666	0.18085106382978722	0.0957446808510639	0.11702127659574472	0.19148936170212763	0.1595744680851064	0.1702127659574468	0.1595744680851064	0.12765957446808515	0.21276595744680846	0.20212765957446804	0.21276595744680846	0.2659574468085107	0.21276595744680846	0.14893617021276598	0.0957446808510639	0.18085106382978722	0.0957446808510639	0.08510638297872347
140	-0.042553191489361666	0.06382978723404249	0.11702127659574472	0.12765957446808515	0.07446808510638306	0.08510638297872347	0.07446808510638306	0.06382978723404249	0.0957446808510639	0.12765957446808515	-0.010638297872340417	0.21276595744680846	0.13829787234042556	0.21276595744680846	0.10638297872340431	0.0957446808510639	0.13829787234042556	0.13829787234042556	0.1702127659574468	0.12765957446808515	0.13829787234042556
160	0.0	0.0	0.042553191489361666	0.13829787234042556	0.06382978723404249	0.1595744680851064	0.031914893617021246	0.10638297872340431	0.1595744680851064	0.05319148936170208	0.11702127659574472	0.12765957446808515	0.08510638297872347	0.010638297872340417	0.042553191489361666	0.0957446808510639	0.0	0.14893617021276598	0.042553191489361666	0.010638297872340417	0.07446808510638306
180	-0.010638297872340417	-0.10638297872340431	0.021276595744680833	0.042553191489361666	0.07446808510638306	0.08510638297872347	0.0957446808510639	0.010638297872340417	0.010638297872340417	0.06382978723404249	0.021276595744680833	0.05319148936170208	0.11702127659574472	0.11702127659574472	0.10638297872340431	0.06382978723404249	0.12765957446808515	0.021276595744680833	0.031914893617021246	0.06382978723404249	-0.05319148936170208
200	0.010638297872340417	-0.10638297872340431	-0.05319148936170208	-0.042553191489361666	-0.05319148936170208	0.010638297872340417	0.0	-0.010638297872340417	-0.010638297872340417	0.0	0.06382978723404249	-0.021276595744680833	0.05319148936170208	0.07446808510638306	0.042553191489361666	0.07446808510638306	0.06382978723404249	0.031914893617021246	0.031914893617021246	0.031914893617021246	0.08510638297872347
