	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	0.26373626373626363	0.2527472527472528	0.2747252747252747	0.31868131868131866	0.3021978021978022	0.36813186813186805	0.3296703296703297	0.3021978021978022	0.29670329670329654	0.28021978021978006	0.35714285714285704	0.36813186813186805	0.3241758241758241	0.33516483516483514	0.3021978021978022	0.3516483516483516	0.36813186813186805	0.3791208791208791	0.3461538461538462	0.3791208791208791	0.36813186813186805
20	0.26373626373626363	0.2912087912087911	0.2692307692307693	0.33516483516483514	0.35714285714285704	0.3516483516483516	0.28021978021978006	0.3626373626373627	0.313186813186813	0.31868131868131866	0.31868131868131866	0.35714285714285704	0.2197802197802196	0.2582417582417582	0.26373626373626363	0.29670329670329654	0.2912087912087911	0.313186813186813	0.313186813186813	0.3461538461538462	0.2692307692307693
40	0.2087912087912088	0.20329670329670316	0.15934065934065939	0.18681318681318668	0.20329670329670316	0.17032967032967022	0.23076923076923067	0.2912087912087911	0.24175824175824173	0.19230769230769232	0.2197802197802196	0.26373626373626363	0.2197802197802196	0.19780219780219774	0.2087912087912088	0.17032967032967022	0.19780219780219774	0.18681318681318668	0.19230769230769232	0.18681318681318668	0.12637362637362623
60	0.09340659340659328	0.14835164835164832	0.15934065934065939	0.15384615384615374	0.12637362637362623	0.14835164835164832	0.17032967032967022	0.12087912087912081	0.13736263736263726	0.12087912087912081	0.1648351648351648	0.09890109890109892	0.14835164835164832	0.10989010989010975	0.10439560439560434	0.043956043956043876	0.10989010989010975	0.15384615384615374	0.0714285714285714	0.12087912087912081	0.08791208791208788
80	-0.01098901098901106	0.0714285714285714	0.08241758241758235	0.06593406593406587	0.07692307692307693	0.03296703296703293	0.03296703296703293	0.027472527472527406	0.0714285714285714	0.016483516483516467	0.043956043956043876	0.06593406593406587	0.0714285714285714	0.06593406593406587	0.06593406593406587	0.03296703296703293	0.05494505494505494	0.09340659340659328	0.04945054945054941	0.027472527472527406	0.05494505494505494
100	0.0	0.010989010989010938	0.010989010989010938	0.03296703296703293	-0.00549450549450553	0.010989010989010938	0.005494505494505409	0.06593406593406587	0.0	-0.016483516483516467	0.027472527472527406	0.010989010989010938	0.06593406593406587	0.016483516483516467	0.05494505494505494	0.016483516483516467	0.04945054945054941	0.0	0.06043956043956034	-0.00549450549450553	0.005494505494505409
120	-0.043956043956043994	-0.08791208791208799	-0.016483516483516467	-0.027472527472527528	-0.00549450549450553	-0.06043956043956046	-0.027472527472527528	-0.01098901098901106	0.016483516483516467	-0.06043956043956046	0.005494505494505409	-0.01098901098901106	-0.06593406593406599	-0.00549450549450553	-0.06043956043956046	-0.07692307692307693	-0.0934065934065934	-0.05494505494505494	-0.038461538461538464	-0.06043956043956046	-0.09890109890109892
140	-0.1153846153846154	-0.049450549450549525	-0.08241758241758246	-0.03296703296703306	-0.038461538461538464	-0.03296703296703306	-0.027472527472527528	-0.08791208791208799	-0.043956043956043994	-0.07142857142857152	-0.08791208791208799	-0.08791208791208799	-0.05494505494505494	-0.07692307692307693	-0.13186813186813187	-0.1373626373626374	-0.09890109890109892	-0.1153846153846154	-0.08791208791208799	-0.12637362637362645	-0.12637362637362645
160	-0.0934065934065934	-0.07142857142857152	-0.10989010989010987	-0.09890109890109892	-0.1153846153846154	-0.03296703296703306	-0.09890109890109892	-0.08241758241758246	-0.09890109890109892	-0.0934065934065934	-0.06593406593406599	-0.08241758241758246	-0.09890109890109892	-0.09890109890109892	-0.12087912087912092	-0.10989010989010987	-0.17582417582417587	-0.1373626373626374	-0.1153846153846154	-0.14285714285714293	-0.2087912087912088
180	-0.13186813186813187	-0.14285714285714293	-0.12637362637362645	-0.12637362637362645	-0.09890109890109892	-0.1153846153846154	-0.14285714285714293	-0.1153846153846154	-0.10989010989010987	-0.1153846153846154	-0.14285714285714293	-0.09890109890109892	-0.14835164835164832	-0.19780219780219785	-0.1373626373626374	-0.13186813186813187	-0.14285714285714293	-0.12087912087912092	-0.17582417582417587	-0.14285714285714293	-0.2087912087912088
200	-0.15934065934065939	-0.17032967032967034	-0.1153846153846154	-0.13186813186813187	-0.06593406593406599	-0.1373626373626374	-0.12087912087912092	-0.09890109890109892	-0.13186813186813187	-0.12637362637362645	-0.16483516483516492	-0.17582417582417587	-0.16483516483516492	-0.16483516483516492	-0.2087912087912088	-0.14835164835164832	-0.14285714285714293	-0.21428571428571433	-0.19230769230769232	-0.2307692307692308	-0.2087912087912088
