	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	-0.02238805970149248	0.007462686567164269	0.03731343283582086	0.11940298507462684	0.30597014925373145	0.22388059701492546	0.30597014925373145	0.32835820895522394	0.37313432835820903	0.33582089552238803	0.2985074626865672	0.455223880597015	0.44776119402985076	0.47014925373134325	0.5149253731343285	0.5373134328358209	0.5074626865671641	0.48507462686567177	0.5373134328358209	0.47014925373134325	0.3805970149253732
20	0.03731343283582086	0.14179104477611948	0.17910447761194034	0.13432835820895522	0.2985074626865672	0.35074626865671643	0.3656716417910448	0.37313432835820903	0.44776119402985076	0.3955223880597015	0.44776119402985076	0.544776119402985	0.6417910447761194	0.708955223880597	0.664179104477612	0.7164179104477614	0.5820895522388061	0.619402985074627	0.6268656716417911	0.6492537313432838	0.46268656716417916
40	0.08208955223880599	0.14179104477611948	0.24626865671641796	0.2985074626865672	0.31343283582089554	0.2835820895522388	0.4402985074626867	0.4328358208955224	0.3582089552238807	0.47014925373134325	0.46268656716417916	0.5223880597014926	0.46268656716417916	0.544776119402985	0.5671641791044776	0.5820895522388061	0.4328358208955224	0.5074626865671641	0.6044776119402985	0.544776119402985	0.5373134328358209
60	0.022388059701492644	0.20149253731343283	0.13432835820895522	0.1492537313432836	0.32835820895522394	0.417910447761194	0.38805970149253743	0.3582089552238807	0.47761194029850734	0.3805970149253732	0.46268656716417916	0.5298507462686568	0.47761194029850734	0.6417910447761194	0.5223880597014926	0.5373134328358209	0.5597014925373135	0.6268656716417911	0.5373134328358209	0.5074626865671641	0.6119402985074626
80	0.08955223880597026	0.022388059701492644	0.2164179104477612	0.17164179104477606	0.11940298507462684	0.22388059701492546	0.31343283582089554	0.2985074626865672	0.2835820895522388	0.3656716417910448	0.2835820895522388	0.47761194029850734	0.3656716417910448	0.6119402985074626	0.4402985074626867	0.4328358208955224	0.417910447761194	0.48507462686567177	0.4925373134328359	0.5970149253731344	0.3805970149253732
100	0.0	0.06716417910447761	0.13432835820895522	0.06716417910447761	0.09701492537313436	0.2089552238805971	0.15671641791044785	0.23880597014925384	0.2611940298507463	0.2761194029850747	0.23880597014925384	0.3432835820895523	0.3582089552238807	0.2985074626865672	0.47761194029850734	0.3582089552238807	0.40298507462686567	0.37313432835820903	0.47014925373134325	0.4104477611940299	0.31343283582089554
120	-0.12686567164179094	-0.05223880597014923	-0.03731343283582086	0.15671641791044785	0.07462686567164188	0.02985074626865675	0.15671641791044785	0.18656716417910443	0.18656716417910443	0.1492537313432836	0.2089552238805971	0.23134328358208958	0.417910447761194	0.3432835820895523	0.37313432835820903	0.2835820895522388	0.31343283582089554	0.40298507462686567	0.3582089552238807	0.30597014925373145	0.35074626865671643
140	-0.18656716417910443	-0.02985074626865675	-0.06716417910447761	0.03731343283582086	0.0597014925373135	0.03731343283582086	0.11194029850746273	0.05223880597014923	0.23134328358208958	0.16417910447761197	0.20149253731343283	0.24626865671641796	0.2835820895522388	0.24626865671641796	0.2985074626865672	0.2835820895522388	0.23134328358208958	0.24626865671641796	0.2985074626865672	0.4104477611940299	0.3432835820895523
160	-0.11940298507462684	-0.07462686567164172	-0.007462686567164106	0.06716417910447761	0.05223880597014923	0.02985074626865675	0.007462686567164269	0.05223880597014923	0.09701492537313436	0.14179104477611948	0.11194029850746273	0.18656716417910443	0.26865671641791045	0.18656716417910443	0.23880597014925384	0.19402985074626872	0.2611940298507463	0.2089552238805971	0.2835820895522388	0.2611940298507463	0.14179104477611948
180	-0.18656716417910443	-0.1417910447761193	-0.08208955223880599	0.02985074626865675	0.03731343283582086	0.0	0.03731343283582086	0.08955223880597026	0.06716417910447761	0.11194029850746273	0.04477611940298513	0.17910447761194034	0.25373134328358204	0.2164179104477612	0.16417910447761197	0.22388059701492546	0.1492537313432836	0.17910447761194034	0.25373134328358204	0.2164179104477612	0.11194029850746273
200	-0.17164179104477606	-0.06716417910447761	-0.06716417910447761	-0.05970149253731334	-0.014925373134328375	-0.014925373134328375	0.007462686567164269	0.0597014925373135	0.08955223880597026	0.022388059701492644	0.014925373134328375	0.11194029850746273	0.15671641791044785	0.16417910447761197	0.11194029850746273	0.19402985074626872	0.16417910447761197	0.13432835820895522	0.10447761194029846	0.11940298507462684	0.1492537313432836
