	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	0.07407407407407413	0.4074074074074073	0.4444444444444445	0.5185185185185186	0.4814814814814814	0.5555555555555556	0.4814814814814814	0.5925925925925924	0.6666666666666666	0.4814814814814814	0.5185185185185186	0.6296296296296297	0.8148148148148148	0.6296296296296297	0.5555555555555556	0.7037037037037037	0.7777777777777779	0.8148148148148148	0.7407407407407407	0.6666666666666666	0.7037037037037037
20	0.37037037037037035	0.18518518518518517	0.18518518518518517	0.4444444444444445	0.7777777777777779	0.888888888888889	0.37037037037037035	0.6666666666666666	0.4444444444444445	0.5185185185185186	0.7037037037037037	0.6296296296296297	0.5185185185185186	0.7777777777777779	0.7407407407407407	0.5925925925925924	0.7777777777777779	0.6296296296296297	0.7407407407407407	0.5555555555555556	0.7037037037037037
40	0.4444444444444445	0.14814814814814825	0.37037037037037035	0.2962962962962962	0.6296296296296297	0.6666666666666666	0.4814814814814814	0.5555555555555556	0.37037037037037035	0.6666666666666666	0.9259259259259259	0.5925925925925924	0.7037037037037037	0.4074074074074073	0.4074074074074073	0.4074074074074073	0.37037037037037035	0.4074074074074073	0.4074074074074073	0.7037037037037037	0.3333333333333334
60	0.11111111111111106	0.22222222222222213	0.2962962962962962	0.3333333333333334	0.4444444444444445	0.2962962962962962	0.4444444444444445	0.4074074074074073	0.4814814814814814	0.5555555555555556	0.5925925925925924	0.4814814814814814	0.5185185185185186	0.2592592592592593	0.4074074074074073	0.6666666666666666	0.6296296296296297	0.5185185185185186	0.5925925925925924	0.6666666666666666	0.4814814814814814
80	-0.11111111111111106	0.0	0.14814814814814825	0.14814814814814825	0.22222222222222213	0.37037037037037035	0.2962962962962962	0.22222222222222213	0.22222222222222213	0.4444444444444445	0.6296296296296297	0.3333333333333334	0.4444444444444445	0.6666666666666666	0.5925925925925924	0.5185185185185186	0.4444444444444445	0.4814814814814814	0.5185185185185186	0.3333333333333334	0.5555555555555556
100	0.0	0.07407407407407413	0.0	0.22222222222222213	0.2592592592592593	0.2592592592592593	0.14814814814814825	0.18518518518518517	0.2962962962962962	0.4814814814814814	0.37037037037037035	0.4814814814814814	0.2962962962962962	0.5185185185185186	0.4444444444444445	0.4444444444444445	0.4814814814814814	0.4814814814814814	0.5925925925925924	0.4444444444444445	0.22222222222222213
120	0.0	0.03703703703703706	0.07407407407407413	0.14814814814814825	0.18518518518518517	0.2592592592592593	0.14814814814814825	0.18518518518518517	0.07407407407407413	0.22222222222222213	0.14814814814814825	0.03703703703703706	0.2962962962962962	0.4074074074074073	0.2962962962962962	0.3333333333333334	0.4074074074074073	0.37037037037037035	0.37037037037037035	0.37037037037037035	0.37037037037037035
140	-0.07407407407407413	0.03703703703703706	0.18518518518518517	0.0	0.22222222222222213	0.11111111111111106	0.03703703703703706	0.07407407407407413	0.14814814814814825	0.14814814814814825	0.2962962962962962	0.2592592592592593	0.18518518518518517	0.14814814814814825	0.37037037037037035	0.4074074074074073	0.18518518518518517	0.37037037037037035	0.4444444444444445	0.22222222222222213	0.0
160	-0.11111111111111106	-0.11111111111111106	0.0	0.03703703703703706	0.11111111111111106	0.0	0.2592592592592593	0.18518518518518517	0.07407407407407413	0.3333333333333334	0.14814814814814825	0.03703703703703706	0.14814814814814825	0.18518518518518517	0.14814814814814825	0.2962962962962962	0.22222222222222213	0.3333333333333334	0.2592592592592593	0.14814814814814825	0.2592592592592593
180	0.0	0.07407407407407413	0.03703703703703706	0.11111111111111106	0.11111111111111106	0.11111111111111106	0.11111111111111106	0.11111111111111106	0.07407407407407413	0.14814814814814825	0.18518518518518517	0.11111111111111106	0.03703703703703706	0.18518518518518517	0.03703703703703706	0.14814814814814825	0.3333333333333334	0.22222222222222213	0.22222222222222213	0.3333333333333334	0.18518518518518517
200	-0.22222222222222224	-0.03703703703703706	-0.03703703703703706	-0.03703703703703706	0.14814814814814825	0.14814814814814825	0.11111111111111106	0.18518518518518517	0.2592592592592593	0.2592592592592593	0.07407407407407413	-0.03703703703703706	0.11111111111111106	0.2962962962962962	0.22222222222222213	0.4074074074074073	0.2592592592592593	0.3333333333333334	0.2962962962962962	0.3333333333333334	0.4074074074074073
