Type	TF	Entropy	Cell	Tool
Known	BHLHE40	0.3888604117340185	GM12878	DREME
Known	CUX1	0.7381067934161288	GM12878	DREME
Known	NFIC	0.6860878653469209	GM12878	DREME
Known	ZBED1	0.4078041094771603	GM12878	DREME
Known	RFX5	0.7471681693264035	GM12878	DREME
Known	HSF1	0.6680591033345115	GM12878	DREME
Known	PAX5	0.8377756750664023	GM12878	DREME
Known	ZNF384	1.0429994128657947	GM12878	DREME
Known	TCF12	0.5065989802744855	GM12878	DREME
Known	E2F4	0.30788023554119537	GM12878	DREME
Known	CEBPB	0.5615440931904848	GM12878	DREME
Known	PKNOX1	0.40404403468397987	GM12878	DREME
Known	MAFK	0.7948376633539137	GM12878	DREME
Known	ZZZ3	0.6513485795411905	GM12878	DREME
Known	NFATC1	0.5053381110274249	GM12878	DREME
Known	JUNB	0.427361578479295	GM12878	DREME
Known	ATF2	0.7951186699268233	GM12878	DREME
Known	BCL11A	0.9669805470569494	GM12878	DREME
Known	YY1	0.685599101875041	GM12878	DREME
Known	USF1	0.5192672783132063	GM12878	DREME
Known	ETV6	0.48590189596729444	GM12878	DREME
Known	USF2	0.5055920040662022	GM12878	DREME
Known	RUNX3	0.5482386121999335	GM12878	DREME
Known	FOS	0.576110489377475	GM12878	DREME
Known	PAX8	0.8039687641599502	GM12878	DREME
Known	CREM	0.8334106663271773	GM12878	DREME
Known	TBX21	0.531315575286784	GM12878	DREME
Known	NR2C1	0.6767757225043407	GM12878	DREME
Known	IRF4	0.5899786197142755	GM12878	DREME
Known	ESRRA	0.5885537335007198	GM12878	DREME
Known	ELF1	0.6172655840053193	GM12878	DREME
Known	BATF	0.9152506089453422	GM12878	DREME
Known	MEF2C	0.5051575072537883	GM12878	DREME
Known	KLF5	0.7802052079049507	GM12878	DREME
Known	ZSCAN29	0.7346699343073594	GM12878	DREME
Known	E2F8	0.5231380932608726	GM12878	DREME
Known	SP1	0.5973011398632182	GM12878	DREME
Known	CTCF	0.550863075059682	GM12878	DREME
Known	TCF7	0.5720761012311023	GM12878	DREME
Known	EBF1	0.5927819751869218	GM12878	DREME
Known	MEF2A	0.3962045093544457	GM12878	DREME
Known	NR2C2	0.6452125791225868	GM12878	DREME
Known	NRF1	0.34876493061581537	GM12878	DREME
Known	MEF2B	0.5741785995018818	GM12878	DREME
Known	RELA	0.3634287896371637	GM12878	DREME
Known	ZNF143	0.43062896672047657	GM12878	DREME
Known	YBX1	0.6846547623511667	GM12878	DREME
Known	ELK1	0.5592411657490453	GM12878	DREME
Known	SMAD5	0.41932880164334463	GM12878	DREME
Known	SPI1	0.3187454386099167	GM12878	DREME
Known	NR2F1	0.5769556768133302	GM12878	DREME
Known	IRF3	0.632231661406723	GM12878	DREME
Known	IRF5	0.6227328717346866	GM12878	DREME
Known	JUND	0.7065443828186899	GM12878	DREME
Known	NFATC3	0.6372302455708546	GM12878	DREME
Known	ZBTB33	0.43268671256270863	GM12878	DREME
Known	ETS1	0.5745894554001869	GM12878	DREME
Known	GABPA	0.5907117982478979	GM12878	DREME
Known	ATF7	0.5766537411391243	GM12878	DREME
Known	MAX	0.653633437789628	GM12878	DREME
Known	RXRA	0.37879029075966625	GM12878	DREME
Known	SRF	0.4685826941511461	GM12878	DREME
Known_core	BHLHE40	0.21720645000927882	GM12878	DREME
Known_core	CUX1	0.7532646292275736	GM12878	DREME
Known_core	NFIC	0.8473807721861051	GM12878	DREME
Known_core	ZBED1	0.2613367328298024	GM12878	DREME
Known_core	RFX5	0.7004068004181786	GM12878	DREME
Known_core	HSF1	0.7355085587684554	GM12878	DREME
Known_core	PAX5	0.7761730964136841	GM12878	DREME
Known_core	ZNF384	1.3776020740772563	GM12878	DREME
Known_core	TCF12	0.5065989802744855	GM12878	DREME
Known_core	E2F4	0.16745914315137053	GM12878	DREME
Known_core	CEBPB	0.34931383202820016	GM12878	DREME
Known_core	PKNOX1	0.4210009153727869	GM12878	DREME
Known_core	MAFK	0.7165213008741614	GM12878	DREME
Known_core	ZZZ3	0.40097072375057324	GM12878	DREME
Known_core	NFATC1	0.5258430336116728	GM12878	DREME
Known_core	JUNB	0.20522014591409665	GM12878	DREME
Known_core	ATF2	0.6018994179541266	GM12878	DREME
Known_core	BCL11A	0.9156925392490143	GM12878	DREME
Known_core	YY1	0.5895568249063883	GM12878	DREME
Known_core	USF1	0.336256813498462	GM12878	DREME
Known_core	ETV6	0.3178184585632741	GM12878	DREME
Known_core	USF2	0.2948434163005204	GM12878	DREME
Known_core	RUNX3	0.44022232981288417	GM12878	DREME
Known_core	FOS	0.4054203093974886	GM12878	DREME
Known_core	PAX8	0.6809014321640308	GM12878	DREME
Known_core	CREM	0.6109067794825085	GM12878	DREME
Known_core	TBX21	0.5650563696975491	GM12878	DREME
Known_core	NR2C1	0.5699608170599255	GM12878	DREME
Known_core	IRF4	0.40691723438892274	GM12878	DREME
Known_core	ESRRA	0.582087974144751	GM12878	DREME
Known_core	ELF1	0.4107049911459496	GM12878	DREME
Known_core	BATF	0.812820867131901	GM12878	DREME
Known_core	MEF2C	0.553729830704821	GM12878	DREME
Known_core	KLF5	0.6513230215213124	GM12878	DREME
Known_core	ZSCAN29	0.5845369868083505	GM12878	DREME
Known_core	E2F8	0.33942202946780803	GM12878	DREME
Known_core	SP1	0.3612818448752677	GM12878	DREME
Known_core	CTCF	0.4148346645680485	GM12878	DREME
Known_core	TCF7	0.4734993438971652	GM12878	DREME
Known_core	EBF1	0.368084844615151	GM12878	DREME
Known_core	MEF2A	0.20518005487009505	GM12878	DREME
Known_core	NR2C2	0.6143661078698973	GM12878	DREME
Known_core	NRF1	0.12975668472344865	GM12878	DREME
Known_core	MEF2B	0.6122354102545889	GM12878	DREME
Known_core	RELA	0.33755797954540556	GM12878	DREME
Known_core	ZNF143	0.2594935283494889	GM12878	DREME
Known_core	YBX1	0.621072958592518	GM12878	DREME
Known_core	ELK1	0.3569099348332364	GM12878	DREME
Known_core	SMAD5	0.2682983529646917	GM12878	DREME
Known_core	SPI1	0.2033328760392773	GM12878	DREME
Known_core	NR2F1	0.44510785607470965	GM12878	DREME
Known_core	IRF3	0.5560345735988845	GM12878	DREME
Known_core	IRF5	0.48446612169149256	GM12878	DREME
Known_core	JUND	0.5532897910884427	GM12878	DREME
Known_core	NFATC3	0.6607742602710732	GM12878	DREME
Known_core	ZBTB33	0.3513910233029206	GM12878	DREME
Known_core	ETS1	0.5224362083918396	GM12878	DREME
Known_core	GABPA	0.3818811848784793	GM12878	DREME
Known_core	ATF7	0.25659432145261607	GM12878	DREME
Known_core	MAX	0.6838341097471171	GM12878	DREME
Known_core	RXRA	0.24605047541125472	GM12878	DREME
Known_core	SRF	0.4026734708681517	GM12878	DREME
SPP	BHLHE40	0.07666256605874436	GM12878	DREME
SPP	CUX1	0.09094312611817036	GM12878	DREME
SPP	NFIC	0.1280696593240193	GM12878	DREME
SPP	ZBED1	0.08416483697169289	GM12878	DREME
SPP	RFX5	0.1150950931806672	GM12878	DREME
SPP	HSF1	0.14614545147533828	GM12878	DREME
SPP	PAX5	0.09505565882754133	GM12878	DREME
SPP	ZNF384	0.06676756769968002	GM12878	DREME
SPP	TCF12	0.10958152610826916	GM12878	DREME
SPP	E2F4	0.15081419727054354	GM12878	DREME
SPP	CEBPB	0.07826101159537888	GM12878	DREME
SPP	PKNOX1	0.1656730710127674	GM12878	DREME
SPP	MAFK	0.10067605009781316	GM12878	DREME
SPP	ZZZ3	0.004578247493389042	GM12878	DREME
SPP	NFATC1	0.10578219472913268	GM12878	DREME
SPP	JUNB	0.11664689066498515	GM12878	DREME
SPP	ATF2	0.10604301910466074	GM12878	DREME
SPP	BCL11A	0.1261332321816643	GM12878	DREME
SPP	YY1	0.08205770240634899	GM12878	DREME
SPP	USF1	0.12441801127890408	GM12878	DREME
SPP	ETV6	0.08508595372232164	GM12878	DREME
SPP	USF2	0.08731301674683675	GM12878	DREME
SPP	RUNX3	0.0961443936557578	GM12878	DREME
SPP	FOS	0.14732298323166376	GM12878	DREME
SPP	PAX8	0.0809296829973519	GM12878	DREME
SPP	CREM	0.1407571697021973	GM12878	DREME
SPP	TBX21	0.12649817760824128	GM12878	DREME
SPP	NR2C1	0.10586308199400993	GM12878	DREME
SPP	IRF4	0.12227924156155605	GM12878	DREME
SPP	ESRRA	0.07357217183232752	GM12878	DREME
SPP	ELF1	0.10670827215847042	GM12878	DREME
SPP	BATF	0.1197043778701318	GM12878	DREME
SPP	MEF2C	0.15054685434570986	GM12878	DREME
SPP	KLF5	0.08349614796904395	GM12878	DREME
SPP	ZSCAN29	0.08442084433439513	GM12878	DREME
SPP	E2F8	0.09041306672659258	GM12878	DREME
SPP	SP1	0.16783185551817184	GM12878	DREME
SPP	CTCF	0.10180649527771436	GM12878	DREME
SPP	TCF7	0.08099961083807973	GM12878	DREME
SPP	EBF1	0.09605885640538564	GM12878	DREME
SPP	MEF2A	0.12638527666921692	GM12878	DREME
SPP	NR2C2	0.08791652835022594	GM12878	DREME
SPP	NRF1	0.105649655067092	GM12878	DREME
SPP	MEF2B	0.1073662696859343	GM12878	DREME
SPP	RELA	0.1173924954884189	GM12878	DREME
SPP	ZNF143	0.14545196692075107	GM12878	DREME
SPP	YBX1	0.09935546676355224	GM12878	DREME
