Type	TF	Acc	Cell	Tool
SPP	SPI1	1	GM12878	DREME
SPP	USF2	2	GM12878	DREME
SPP	ZBED1	1	GM12878	DREME
SPP	JUNB	1	GM12878	DREME
SPP	ZSCAN29	3	GM12878	DREME
SPP	RUNX3	3	GM12878	DREME
SPP	NR2F1	2	GM12878	DREME
SPP	BATF	1	GM12878	DREME
SPP	ELK1	3	GM12878	DREME
SPP	EBF1	3	GM12878	DREME
SPP	USF1	2	GM12878	DREME
SPP	YBX1	0	GM12878	DREME
SPP	E2F8	2	GM12878	DREME
SPP	GABPA	4	GM12878	DREME
SPP	CTCF	2	GM12878	DREME
SPP	IRF5	0	GM12878	DREME
SPP	BCL11A	0	GM12878	DREME
SPP	IRF3	1	GM12878	DREME
SPP	SP1	2	GM12878	DREME
SPP	YY1	2	GM12878	DREME
SPP	PKNOX1	0	GM12878	DREME
SPP	MEF2A	2	GM12878	DREME
SPP	KLF5	2	GM12878	DREME
SPP	JUND	1	GM12878	DREME
SPP	IRF4	1	GM12878	DREME
SPP	ZZZ3	0	GM12878	DREME
SPP	MAFK	3	GM12878	DREME
SPP	NFATC1	1	GM12878	DREME
SPP	TCF12	1	GM12878	DREME
SPP	NFIC	0	GM12878	DREME
SPP	FOS	1	GM12878	DREME
SPP	ATF7	2	GM12878	DREME
SPP	NRF1	1	GM12878	DREME
SPP	CREM	3	GM12878	DREME
SPP	NR2C1	0	GM12878	DREME
SPP	NFATC3	2	GM12878	DREME
SPP	ZNF384	2	GM12878	DREME
SPP	RELA	2	GM12878	DREME
SPP	PAX8	2	GM12878	DREME
SPP	PAX5	2	GM12878	DREME
SPP	RFX5	2	GM12878	DREME
SPP	ELF1	3	GM12878	DREME
SPP	ATF2	1	GM12878	DREME
SPP	CUX1	1	GM12878	DREME
SPP	RXRA	0	GM12878	DREME
SPP	E2F4	1	GM12878	DREME
SPP	NR2C2	1	GM12878	DREME
SPP	SRF	1	GM12878	DREME
SPP	CEBPB	2	GM12878	DREME
SPP	BHLHE40	1	GM12878	DREME
SPP	ESRRA	2	GM12878	DREME
