	exp_normal_GM12878	exp_normal_K562	enrichment_SPP_GM12878	enrichment_SPP_K562	inference_SPP_GM12878	inference_SPP_K562	inference_MOBI_GM12878	inference_MOBI_K562	ratio
FOS	0.00844459965993935	0.14305573964709903	0.052000000000000005	0.04	1.0	0.0	0.0	0.0	16.9404998943581
CEBPB	0.2786717887779986	1.8025023195534478	0.5920000000000001	0.752	2.0	3.0	2.0	2.0	6.4681908687549114
NFATC3	4.247633628949494	15.68844611463186	0.10400000000000001	0.12	2.0	0.0	1.0	1.0	3.693455576702329
SMAD5	2.1195945146447768	7.686861743704122	0.048	0.044000000000000004	0.0	0.0	1.0	0.0	3.6265718233340327
ESRRA	2.21248511090411	7.868065680590447	0.932	0.856	2.0	3.0	2.0	2.0	3.556211809884334
NFIC	0.506675979596361	1.7643541223142216	0.027999999999999997	0.96	0.0	3.0	0.0	3.0	3.4822138671736105
JUND	3.0400558775781663	8.735937167782849	0.444	0.752	1.0	2.0	1.0	1.0	2.873610722820745
ATF2	6.527675537133119	18.282523526899258	0.32	0.996	1.0	2.0	1.0	3.0	2.800770875160369
SPI1	1.055574957492419	2.6799108560556553	0.784	0.98	1.0	2.0	1.0	3.0	2.538816250834467
SP1	5.902775162297607	13.428165428207697	0.664	0.7759999999999999	2.0	4.0	2.0	4.0	2.274890209943367
YBX1	198.1440864208169	407.68978389561266	0.032	0.016	0.0	2.0	0.0	2.0	2.0575420203546435
ZSCAN29	3.3271722660161043	6.838064355131334	0.2	0.228	3.0	3.0	2.0	3.0	2.055218007488115
ZZZ3	8.157483271501413	16.260669073220257	0.016	0.044000000000000004	0.0	1.0	0.0	0.0	1.9933438454023853
ELK1	3.301838467036286	6.475656481358683	0.912	0.86	3.0	2.0	2.0	2.0	1.9612275240015604
RELA	2.744494889480289	5.3025994162524706	0.78	0.048	2.0	0.0	4.0	1.0	1.9320857315411495
MAFK	0.5911219761957545	1.125371818557179	0.988	1.0	3.0	3.0	4.0	3.0	1.9037895119373869
PKNOX1	1.4524711415095684	2.7180590532948816	0.076	0.07200000000000001	0.0	0.0	0.0	0.0	1.8713342906558368
NRF1	3.2427262694167105	5.932044670699707	1.0	0.996	1.0	1.0	2.0	2.0	1.8293387038699203
YY1	7.861922283403536	14.067147731964738	0.968	0.972	2.0	3.0	3.0	2.0	1.78927585708401
NR2C1	6.147668552435848	10.710106374912815	0.408	0.396	0.0	2.0	2.0	3.0	1.742141152139574
CUX1	4.120964634050403	7.105101735805919	0.256	0.58	1.0	3.0	3.0	2.0	1.7241355766798887
CTCF	6.612121533732512	10.643347029744168	0.932	0.904	2.0	3.0	3.0	3.0	1.6096720206133368
ZBTB33	4.627640613646765	7.314916820621664	0.008	0.02	1.0	0.0	0.0	1.0	1.5807011458604212
ZNF143	4.593862215007007	7.0574164892568865	0.6920000000000001	0.736	1.0	2.0	2.0	0.0	1.5362708237530631
GABPA	4.2391890292895535	6.389823037570424	0.9159999999999999	0.9640000000000001	4.0	4.0	3.0	3.0	1.5073220357529789
TCF12	9.314393424913103	13.847795597839186	0.41200000000000003	0.16399999999999998	1.0	1.0	2.0	0.0	1.4867093288974291
ATF7	2.6516042932209563	3.595467589797089	0.564	0.392	2.0	2.0	1.0	2.0	1.3559593333700646
MAX	10.27707778614619	13.847795597839186	0.872	0.892	2.0	1.0	4.0	2.0	1.3474448560179655
NR2C2	3.006277478938409	4.043708907358	0.47200000000000003	0.348	1.0	1.0	2.0	2.0	1.345088381125063
E2F8	3.031611277918227	4.024634808738386	0.56	0.612	2.0	3.0	4.0	3.0	1.3275563519812663
USF1	10.285522385806129	13.542610019925375	0.992	0.992	2.0	2.0	2.0	1.0	1.3166672058012319
JUNB	2.7529394891402283	3.4142636529107637	0.284	0.38	1.0	1.0	4.0	1.0	1.240224736642168
USF2	8.925941840555893	10.786402769391268	0.988	0.948	2.0	3.0	2.0	1.0	1.2084330104395469
BHLHE40	6.595232334412633	7.190935179594178	0.732	0.78	1.0	2.0	2.0	2.0	1.0903232539774657
ZNF384	4.256078228609433	4.396579731820844	0.29600000000000004	0.248	2.0	2.0	1.0	1.0	1.0330119644575508
CREM	10.64019557152358	10.195105712183258	0.532	0.56	3.0	3.0	3.0	3.0	0.9581690151888261
ELF1	9.778846406209768	6.90482370029998	0.924	0.94	3.0	2.0	2.0	3.0	0.7060979806283976
ZBED1	6.046333356516575	3.8815790690912872	0.204	0.24	1.0	1.0	3.0	2.0	0.6419723889202744
ETV6	4.754309608545855	1.7071318264553819	0.172	0.784	1.0	4.0	0.0	5.0	0.35907039444524574
MEF2A	7.152575911968631	2.279354785043778	0.536	0.672	2.0	2.0	4.0	3.0	0.31867607042515433
RFX5	24.96223659478072	7.9348250257590935	0.36	0.34	2.0	2.0	2.0	2.0	0.3178731599482621
TCF7	4.196966030989857	0.7629639447845282	0.5760000000000001	0.5720000000000001	3.0	3.0	3.0	1.0	0.18178940195152896
ETS1	9.973072198388374	0.06675934516864622	0.428	0.308	3.0	0.0	2.0	2.0	0.006693959879227023
NR2F1	0.0	0.0	0.888	0.904	2.0	3.0	5.0	4.0	
