	Factorbook	Baseline	MOBI
NANOG	2	0	2
NFIC	2	0	0
NFE2	0	2	4
CREM	3	3	4
ZNF263	5	4	4
GATA3	0	2	4
ZNF274	0	2	3
USF1	3	1	4
IRF4	1	1	2
FOSL1	0	0	0
RELA	0	0	0
PRDM1	1	3	4
MEF2C	1	2	4
HNF4A	1	4	5
ZBTB7A	1	1	1
BHLHE40	1	1	5
RXRA	2	3	4
NRF1	1	2	4
ZBTB33	1	1	0
CTCF	0	3	5
E2F4	1	1	1
EBF1	1	2	5
ZNF143	1	2	0
CUX1	2	1	3
E2F1	1	2	2
ETS1	0	0	1
MAFF	2	2	5
ELK1	1	3	3
USF2	3	3	3
MAFK	1	3	5
GATA1	1	4	3
HSF1	1	1	1
NR3C1	0	2	3
ATF3	2	2	2
TCF12	1	0	0
ESRRA	1	2	3
SP2	1	3	1
PAX5	1	2	2
JUND	0	2	3
ELK4	2	4	4
IRF3	1	0	1
ZZZ3	0	0	0
SPI1	3	2	3
BATF	2	1	1
FOS	1	0	0
CEBPB	2	4	4
FOXA2	1	4	4
SREBF2	2	0	1
RFX5	2	2	3
TEAD4	0	0	0
ZNF384	1	2	2
EGR1	2	3	4
SP1	0	0	1
ELF1	1	2	5
JUN	0	4	2
SRF	1	1	3
GABPA	1	5	4
GATA2	1	4	4
ESR1	0	3	4
CREB1	2	1	2
YY1	4	2	4
RUNX3	2	3	5
MYBL2	1	0	2
FOXA1	0	4	0
MAX	1	2	5
NR2C2	2	0	1
SMAD5	0	0	0
NFATC1	2	1	2
BCL11A	1	0	2
ATF2	0	2	5
SREBF1	0	2	3
POU2F2	2	3	3
MEF2A	0	2	3
