	RankSPP	RankLinear_0.1	RankLinear_0.2	RankLinear_0.3	RankLinear_0.4	RankLinear_0.5	RankLinear_0.6	RankLinear_0.7	RankLinear_0.8	RankLinear_0.9	RankLinear_1.0	RankLinear_2.0	RankLinear_3.0	RankLinear_4.0	RankLinear_5.0	RankLinear_6.0	RankLinear_7.0	RankLinear_8.0	RankLinear_9.0	RankLinear_10.0	RankCrowdness
10	0.19607843137254902	0.21568627450980393	0.19607843137254902	0.29411764705882354	0.40196078431372556	0.3529411764705883	0.44117647058823545	0.4607843137254902	0.5294117647058822	0.5098039215686274	0.4705882352941176	0.40196078431372556	0.42156862745098034	0.3725490196078431	0.42156862745098034	0.44117647058823545	0.36274509803921573	0.3431372549019608	0.411764705882353	0.3529411764705883	0.30392156862745107
20	0.411764705882353	0.3823529411764705	0.32352941176470584	0.3921568627450982	0.40196078431372556	0.40196078431372556	0.44117647058823545	0.5294117647058822	0.44117647058823545	0.3823529411764705	0.42156862745098034	0.29411764705882354	0.40196078431372556	0.43137254901960775	0.5000000000000001	0.411764705882353	0.3921568627450982	0.42156862745098034	0.32352941176470584	0.33333333333333337	0.42156862745098034
40	0.2843137254901961	0.3529411764705883	0.30392156862745107	0.36274509803921573	0.3725490196078431	0.36274509803921573	0.42156862745098034	0.4607843137254902	0.480392156862745	0.5000000000000001	0.44117647058823545	0.4607843137254902	0.4509803921568628	0.5392156862745099	0.4901960784313727	0.5294117647058822	0.40196078431372556	0.4509803921568628	0.5392156862745099	0.480392156862745	0.411764705882353
60	0.23529411764705888	0.2745098039215686	0.3431372549019608	0.30392156862745107	0.29411764705882354	0.3137254901960784	0.36274509803921573	0.40196078431372556	0.4607843137254902	0.411764705882353	0.3431372549019608	0.40196078431372556	0.5294117647058822	0.3431372549019608	0.3921568627450982	0.3921568627450982	0.30392156862745107	0.3823529411764705	0.36274509803921573	0.43137254901960775	0.3431372549019608
80	0.16666666666666669	0.22549019607843135	0.30392156862745107	0.2549019607843138	0.29411764705882354	0.2647058823529412	0.40196078431372556	0.29411764705882354	0.36274509803921573	0.29411764705882354	0.16666666666666669	0.29411764705882354	0.3529411764705883	0.2843137254901961	0.42156862745098034	0.3137254901960784	0.3137254901960784	0.3725490196078431	0.21568627450980393	0.44117647058823545	0.2843137254901961
100	0.0	0.058823529411764795	0.18627450980392163	0.16666666666666669	0.10784313725490205	0.10784313725490205	0.20588235294117654	0.17647058823529407	0.13725490196078438	0.19607843137254902	0.14705882352941177	0.2647058823529412	0.20588235294117654	0.12745098039215683	0.2843137254901961	0.2843137254901961	0.23529411764705888	0.2647058823529412	0.2843137254901961	0.17647058823529407	0.1568627450980393
120	0.12745098039215683	0.039215686274509866	0.16666666666666669	0.17647058823529407	0.07843137254901958	0.20588235294117654	0.20588235294117654	0.02941176470588232	0.14705882352941177	0.21568627450980393	0.11764705882352944	0.13725490196078438	0.14705882352941177	0.22549019607843135	0.08823529411764712	0.16666666666666669	0.17647058823529407	0.3529411764705883	0.18627450980392163	0.30392156862745107	0.11764705882352944
140	-0.00980392156862739	0.00980392156862739	0.11764705882352944	0.09803921568627451	0.06862745098039219	0.10784313725490205	0.019607843137254933	0.00980392156862739	0.14705882352941177	0.17647058823529407	0.039215686274509866	0.13725490196078438	0.16666666666666669	0.049019607843137254	0.20588235294117654	0.12745098039215683	0.17647058823529407	0.08823529411764712	0.12745098039215683	0.06862745098039219	0.058823529411764795
160	-0.049019607843137254	0.019607843137254933	0.10784313725490205	0.049019607843137254	-0.049019607843137254	0.19607843137254902	0.09803921568627451	0.049019607843137254	0.1568627450980393	0.06862745098039219	0.058823529411764795	0.049019607843137254	0.06862745098039219	0.22549019607843135	0.23529411764705888	0.21568627450980393	0.2549019607843138	0.06862745098039219	0.24509803921568626	0.16666666666666669	0.07843137254901958
180	0.00980392156862739	-0.00980392156862739	0.039215686274509866	0.06862745098039219	-0.039215686274509866	-0.019607843137254933	0.08823529411764712	0.0	-0.049019607843137254	0.13725490196078438	-0.00980392156862739	0.049019607843137254	0.20588235294117654	0.049019607843137254	0.23529411764705888	0.16666666666666669	0.08823529411764712	0.07843137254901958	-0.00980392156862739	0.20588235294117654	0.058823529411764795
200	-0.00980392156862739	0.06862745098039219	-0.02941176470588232	-0.019607843137254933	-0.049019607843137254	0.02941176470588232	0.06862745098039219	0.049019607843137254	0.07843137254901958	0.049019607843137254	-0.049019607843137254	0.07843137254901958	0.09803921568627451	0.0	0.00980392156862739	0.02941176470588232	0.14705882352941177	0.06862745098039219	0.09803921568627451	0.10784313725490205	-0.06862745098039219
